iter	Passed	Remaining
0	5	5147
1	9	4884
2	14	4827
3	20	5020
4	26	5258
5	30	5119
6	36	5225
7	61	7606
8	68	7509
9	79	7845
10	86	7782
11	107	8822
12	112	8554
13	126	8901
14	145	9555
15	161	9937
16	175	10167
17	183	10005
18	192	9940
19	204	10002
20	209	9777
21	218	9698
22	223	9505
23	229	9339
24	238	9314
25	244	9172
26	253	9152
27	260	9033
28	267	8954
29	272	8799
30	281	8806
31	286	8664
32	295	8671
33	311	8856
34	352	9713
35	365	9797
36	371	9668
37	382	9684
38	386	9534
39	397	9540
40	402	9417
41	414	9465
42	420	9349
43	428	9320
44	433	9201
45	445	9236
46	450	9141
47	460	9135
48	466	9045
49	474	9014
50	480	8938
51	487	8895
52	497	8887
53	506	8877
54	513	8829
55	521	8798
56	551	9121
57	559	9086
58	564	9005
59	574	8996
60	580	8929
61	592	8965
62	601	8945
63	610	8922
64	616	8863
65	623	8829
66	628	8751
67	642	8811
68	656	8853
69	661	8785
70	673	8817
71	679	8751
72	687	8731
73	692	8665
74	701	8657
75	706	8587
76	713	8552
77	722	8545
78	729	8509
79	745	8577
80	756	8586
81	768	8597
82	775	8562
83	784	8554
84	804	8657
85	818	8695
86	827	8683
87	836	8669
88	847	8674
89	868	8777
90	874	8739
91	893	8822
92	899	8773
93	905	8723
94	914	8707
95	918	8646
96	928	8647
97	933	8589
98	941	8564
99	946	8522
100	953	8484
101	964	8487
102	977	8510
103	982	8463
104	993	8464
105	997	8416
106	1008	8413
107	1012	8361
108	1017	8318
109	1046	8468
110	1059	8489
111	1065	8444
112	1075	8445
113	1079	8391
114	1086	8361
115	1105	8423
116	1109	8370
117	1113	8321
118	1124	8324
119	1128	8275
120	1140	8286
121	1144	8239
122	1158	8256
123	1162	8215
124	1174	8220
125	1182	8203
126	1208	8310
127	1222	8331
128	1228	8296
129	1235	8270
130	1252	8305
131	1255	8258
132	1265	8246
133	1271	8215
134	1277	8187
135	1298	8250
136	1302	8203
137	1306	8162
138	1315	8147
139	1319	8106
140	1325	8075
141	1329	8035
142	1334	7997
143	1339	7960
144	1346	7937
145	1351	7904
146	1358	7884
147	1363	7847
148	1367	7808
149	1374	7788
150	1377	7746
151	1381	7708
152	1386	7674
153	1390	7640
154	1395	7605
155	1398	7568
156	1404	7540
157	1408	7506
158	1412	7470
159	1416	7437
160	1420	7404
161	1424	7370
162	1428	7337
163	1432	7304
164	1437	7275
165	1441	7241
166	1445	7208
167	1448	7174
168	1454	7150
169	1458	7119
170	1461	7087
171	1465	7055
172	1470	7030
173	1474	7001
174	1478	6971
175	1482	6942
176	1486	6913
177	1490	6884
178	1494	6854
179	1498	6827
180	1503	6803
181	1507	6776
182	1512	6750
183	1516	6726
184	1520	6699
185	1524	6671
186	1528	6646
187	1533	6622
188	1537	6598
189	1542	6573
190	1546	6551
191	1550	6525
192	1554	6498
193	1557	6471
194	1561	6445
195	1565	6420
196	1569	6395
197	1572	6371
198	1576	6347
199	1581	6325
200	1585	6302
201	1589	6277
202	1596	6267
203	1601	6248
204	1606	6228
205	1613	6220
206	1617	6196
207	1621	6174
208	1626	6156
209	1633	6145
210	1637	6123
211	1646	6120
212	1652	6105
213	1656	6083
